input, method, guess, after_one, final, iters
2.117773e-02,Moroz,7.020823e+00,6.872917e+00,6.872917e+00,1
8.302109e-03,Blinn,1.174932e+01,1.094266e+01,1.097491e+01,3
8.302109e-03,QuakeIII,1.120876e+01,1.096751e+01,1.097502e+01,2
8.302109e-03,withoutDiv,1.136262e+01,1.095426e+01,1.097497e+01,2
8.302109e-03,optimal_grid,9.749313e+00,1.098182e+01,1.080187e+01,95
8.302109e-03,Moroz,1.121246e+01,1.097713e+01,1.098467e+01,95
1.139039e-01,Blinn,3.177537e+00,2.953433e+00,2.962376e+00,2
1.139039e-01,QuakeIII,3.042397e+00,2.959773e+00,2.962988e+00,2
1.139039e-01,withoutDiv,3.080862e+00,2.955867e+00,2.962967e+00,2
1.139039e-01,optimal_grid,2.677535e+00,2.964211e+00,2.964211e+00,1
1.139039e-01,Moroz,3.043323e+00,2.962372e+00,2.962372e+00,1
1.254411e-01,Blinn,2.996471e+00,2.818576e+00,2.823146e+00,2
1.254411e-01,QuakeIII,2.861332e+00,2.822684e+00,2.822684e+00,1
1.254411e-01,withoutDiv,2.899797e+00,2.820325e+00,2.823445e+00,2
1.254411e-01,optimal_grid,2.496470e+00,2.824926e+00,2.824926e+00,1
1.254411e-01,Moroz,2.862257e+00,2.825162e+00,2.825162e+00,1
8.318745e-02,Blinn,3.669001e+00,3.462357e+00,3.466842e+00,2
8.318745e-02,QuakeIII,3.533861e+00,3.465199e+00,3.465199e+00,1
8.318745e-02,withoutDiv,3.572326e+00,3.462302e+00,3.467128e+00,2
8.318745e-02,optimal_grid,3.168999e+00,3.466322e+00,3.466322e+00,1
8.318745e-02,Moroz,3.534786e+00,3.468252e+00,3.468252e+00,1
1.292863e-01,Blinn,2.965709e+00,2.774567e+00,2.780729e+00,2
1.292863e-01,QuakeIII,2.830570e+00,2.779820e+00,2.779820e+00,1
1.292863e-01,withoutDiv,2.869035e+00,2.776935e+00,2.781136e+00,2
1.292863e-01,optimal_grid,2.465708e+00,2.782775e+00,2.782775e+00,1
1.292863e-01,Moroz,2.831495e+00,2.782258e+00,2.782258e+00,1
1.123845e-02,Blinn,1.024591e+01,9.380080e+00,9.432716e+00,3
1.123845e-02,QuakeIII,9.705355e+00,9.421019e+00,9.432911e+00,2
1.123845e-02,withoutDiv,9.859215e+00,9.403603e+00,9.432796e+00,2
1.123845e-02,optimal_grid,8.245907e+00,9.433179e+00,9.433179e+00,1
1.123845e-02,Moroz,9.709056e+00,9.429224e+00,9.441220e+00,95
2.597535e-02,Blinn,6.675156e+00,6.181335e+00,6.203155e+00,2
2.597535e-02,QuakeIII,6.404876e+00,6.194886e+00,6.204656e+00,2
2.597535e-02,withoutDiv,6.481806e+00,6.185836e+00,6.204593e+00,2
2.597535e-02,optimal_grid,5.675152e+00,6.202883e+00,6.202883e+00,1
2.597535e-02,Moroz,6.406727e+00,6.200334e+00,6.210130e+00,95
1.996323e-02,Blinn,7.444706e+00,7.072288e+00,7.077254e+00,2
1.996323e-02,QuakeIII,7.174427e+00,7.075579e+00,7.077575e+00,2
1.996323e-02,withoutDiv,7.251357e+00,7.071123e+00,7.077568e+00,2
1.996323e-02,optimal_grid,6.444703e+00,7.077748e+00,7.077748e+00,1
1.996323e-02,Moroz,7.176277e+00,7.081809e+00,7.083794e+00,95
6.679903e-02,Blinn,3.931216e+00,3.871457e+00,3.869281e+00,2
6.679903e-02,QuakeIII,3.796076e+00,3.867087e+00,3.869143e+00,2
6.679903e-02,withoutDiv,3.834541e+00,3.868682e+00,3.868682e+00,1
6.679903e-02,optimal_grid,3.431214e+00,3.871431e+00,3.808098e+00,95
6.679903e-02,Moroz,3.797001e+00,3.870476e+00,3.870476e+00,1
